"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 31 14:51:51 CEST 2021","Mon May 31 14:51:53 CEST 2021","2050","","Front end testing","","","","Access the translate page",""
"passed","Mon May 31 14:51:53 CEST 2021","Mon May 31 14:51:54 CEST 2021","574","","Front end testing","","","","Tests tooltip display on glossary button hovering",""
